50,-50,1100; 150,-50,1100; 150,50,1100; 50,50,1100; 0; przod
50,-50,1200; 150,-50,1200; 150,50,1200; 50,50,1200; 0; tyl
50,-50,1100; 150,-50,1100; 150,-50,1200; 50,-50,1200; 0; dol
150,50,1100; 50,50,1100; 50,50,1200; 150,50,1200; 0; gora
50,-50,1100; 50,50,1100; 50,50,1200; 50,-50,1200; 0; lewo
150,-50,1100; 150,50,1100; 150,50,1200; 150,-50,1200; 0; prawo
-55,-50,1100; 45,-50,1100; 45,50,1100; -55,50,1100; 1; przod
-55,-50,1200; 45,-50,1200; 45,50,1200; -55,50,1200; 1; tyl
-55,-50,1100; 45,-50,1100; 45,-50,1200; -55,-50,1200; 1; dol
45,50,1100; -55,50,1100; -55,50,1200; 45,50,1200; 1; gora
-55,-50,1100; -55,50,1100; -55,50,1200; -55,-50,1200; 1; lewo
45,-50,1100; 45,50,1100; 45,50,1200; 45,-50,1200; 1; prawo
155,-50,1100; 255,-50,1100; 255,50,1100; 155,50,1100; 2; przod
155,-50,1200; 255,-50,1200; 255,50,1200; 155,50,1200; 2; tyl
155,-50,1100; 255,-50,1100; 255,-50,1200; 155,-50,1200; 2; dol
255,50,1100; 155,50,1100; 155,50,1200; 255,50,1200; 2; gora
155,-50,1100; 155,50,1100; 155,50,1200; 155,-50,1200; 2; lewo
255,-50,1100; 255,50,1100; 255,50,1200; 255,-50,1200; 2; prawo
203,60,1100; 103,60,1100; 103,160,1100; 203,160,1100; 3; przod
203,60,1200; 103,60,1200; 103,160,1200; 203,160,1200; 3; tyl
203,60,1100; 103,60,1100; 103,60,1200; 203,60,1200; 3; dol
103,160,1100; 203,160,1100; 203,160,1200; 103,160,1200; 3; gora
103,60,1100; 103,160,1100; 103,160,1200; 103,60,1200; 3; lewo
203,60,1100; 203,160,1100; 203,160,1200; 203,60,1200; 3; prawo
-3,60,1100; 98,60,1100; 98,160,1100; -3,160,1100; 4; przod
-3,60,1200; 98,60,1200; 98,160,1200; -3,160,1200; 4; tyl
-3,60,1100; 98,60,1100; 98,60,1200; -3,60,1200; 4; dol
98,160,1100; -3,160,1100; -3,160,1200; 98,160,1200; 4; gora
-3,60,1100; -3,160,1100; -3,160,1200; -3,60,1200; 4; lewo
98,60,1100; 98,160,1100; 98,160,1200; 98,60,1200; 4; prawo
50,180,1100; 150,180,1100; 150,280,1100; 50,280,1100; 5; przod
50,180,1200; 150,180,1200; 150,280,1200; 50,280,1200; 5; tyl
50,180,1100; 150,180,1100; 150,180,1200; 50,180,1200; 5; dol
150,280,1100; 50,280,1100; 50,280,1200; 150,280,1200; 5; gora
50,180,1100; 50,280,1100; 50,280,1200; 50,180,1200; 5; lewo
150,180,1100; 150,280,1100; 150,280,1200; 150,180,1200; 5; prawo
400,-25,900; 450,-25,900; 450,25,900; 400,25,900; 6; przod
400,-25,950; 450,-25,950; 450,25,950; 400,25,950; 6; tyl
400,-25,900; 450,-25,900; 450,-25,950; 400,-25,950; 6; dol
450,25,900; 400,25,900; 400,25,950; 450,25,950; 6; gora
400,-25,900; 400,25,900; 400,25,950; 400,-25,950; 6; lewo
450,-25,900; 450,25,900; 450,25,950; 450,-25,950; 6; prawo
455,-25,900; 505,-25,900; 505,25,900; 455,25,900; 7; przod
455,-25,950; 505,-25,950; 505,25,950; 455,25,950; 7; tyl
455,-25,900; 505,-25,900; 505,-25,950; 455,-25,950; 7; dol
505,25,900; 455,25,900; 455,25,950; 505,25,950; 7; gora
455,-25,900; 455,25,900; 455,25,950; 455,-25,950; 7; lewo
505,-25,900; 505,25,900; 505,25,950; 505,-25,950; 7; prawo
510,-25,900; 560,-25,900; 560,25,900; 510,25,900; 8; przod
510,-25,950; 560,-25,950; 560,25,950; 510,25,950; 8; tyl
510,-25,900; 560,-25,900; 560,-25,950; 510,-25,950; 8; dol
560,25,900; 510,25,900; 510,25,950; 560,25,950; 8; gora
510,-25,900; 510,25,900; 510,25,950; 510,-25,950; 8; lewo
560,-25,900; 560,25,900; 560,25,950; 560,-25,950; 8; prawo
400,30,900; 450,30,900; 450,80,900; 400,80,900; 9; przod
400,30,950; 450,30,950; 450,80,950; 400,80,950; 9; tyl
400,30,900; 450,30,900; 450,30,950; 400,30,950; 9; dol
450,80,900; 400,80,900; 400,80,950; 450,80,950; 9; gora
400,30,900; 400,80,900; 400,80,950; 400,30,950; 9; lewo
450,30,900; 450,80,900; 450,80,950; 450,30,950; 9; prawo
455,30,900; 505,30,900; 505,80,900; 455,80,900; 10; przod
455,30,950; 505,30,950; 505,80,950; 455,80,950; 10; tyl
455,30,900; 505,30,900; 505,30,950; 455,30,950; 10; dol
505,80,900; 455,80,900; 455,80,950; 505,80,950; 10; gora
455,30,900; 455,80,900; 455,80,950; 455,30,950; 10; lewo
505,30,900; 505,80,900; 505,80,950; 505,30,950; 10; prawo
510,30,900; 560,30,900; 560,80,900; 510,80,900; 11; przod
510,30,950; 560,30,950; 560,80,950; 510,80,950; 11; tyl
510,30,900; 560,30,900; 560,30,950; 510,30,950; 11; dol
560,80,900; 510,80,900; 510,80,950; 560,80,950; 11; gora
510,30,900; 510,80,900; 510,80,950; 510,30,950; 11; lewo
560,30,900; 560,80,900; 560,80,950; 560,30,950; 11; prawo
